trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-80.06541272978183,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-145.02192963936287,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-196.2994851883028,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-127.60225475711943,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-60.2970163564366,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'e': 1.0, 'a': 0.5}",35,0,-193.0687488328622,"{0: 24, 1: 4, 2: 2, 3: 1, 4: 4}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-73.04918111135234,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-2.1931379227701036,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-156.00277368001588,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,0,-108.26184449506457,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-60.45890804960539,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
12,False,"{'e': 1.0, 'a': 0.5}",25,0,-79.37572655614282,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-141.99414035055935,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,10,-63.32832321283626,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",1
15,False,"{'e': 1.0, 'a': 0.5}",25,0,-102.19094430569255,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-296.76498663420637,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 5}",0
17,False,"{'e': 1.0, 'a': 0.5}",30,0,-192.3735206503656,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-114.65933850266518,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,0,-185.17257922589206,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-118.80742879516454,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
21,False,"{'e': 1.0, 'a': 0.5}",20,0,-99.38252520058954,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
22,False,"{'e': 1.0, 'a': 0.5}",25,0,-189.2589044876414,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
23,False,"{'e': 1.0, 'a': 0.5}",25,0,-107.5664007473722,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
24,False,"{'e': 1.0, 'a': 0.5}",35,17,-175.115774629046,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 3}",1
25,False,"{'e': 1.0, 'a': 0.5}",25,0,-206.30746073913372,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
26,False,"{'e': 1.0, 'a': 0.5}",20,0,-111.70918580684815,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
27,False,"{'e': 1.0, 'a': 0.5}",20,0,-173.994827920488,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
28,False,"{'e': 1.0, 'a': 0.5}",20,0,-140.08084011724313,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
29,False,"{'e': 1.0, 'a': 0.5}",25,0,-95.87453126009171,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
30,False,"{'e': 1.0, 'a': 0.5}",25,0,-165.14747077118076,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
31,False,"{'e': 1.0, 'a': 0.5}",20,0,-104.93372431132951,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
32,False,"{'e': 1.0, 'a': 0.5}",20,0,-167.90180741717052,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
33,False,"{'e': 1.0, 'a': 0.5}",20,0,-43.653166242169505,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
34,False,"{'e': 1.0, 'a': 0.5}",20,0,-119.71014859240607,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
