trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
251,False,"{'e': 0.08024793100055952, 'a': 0.5}",25,15,19.330476918163424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'e': 0.07944545169055392, 'a': 0.5}",20,16,7.236228038058567,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'e': 0.07865099717364837, 'a': 0.5}",20,10,15.875144630167334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'e': 0.07786448720191189, 'a': 0.5}",20,13,10.27583904550827,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'e': 0.07708584232989277, 'a': 0.5}",20,5,25.933037935448116,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'e': 0.07631498390659384, 'a': 0.5}",25,8,-17.65044386737101,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
257,False,"{'e': 0.07555183406752791, 'a': 0.5}",25,19,11.255750271847523,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'e': 0.07479631572685264, 'a': 0.5}",20,12,16.02644453052083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'e': 0.07404835256958411, 'a': 0.5}",35,23,19.502373662186162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'e': 0.07330786904388827, 'a': 0.5}",20,14,9.181530417628508,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'e': 0.07257479035344938, 'a': 0.5}",30,22,14.172482960914861,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'e': 0.07184904244991488, 'a': 0.5}",35,22,23.604781676732504,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'e': 0.07113055202541574, 'a': 0.5}",20,0,29.789797406897815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'e': 0.07041924650516158, 'a': 0.5}",25,0,25.22779091910867,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
265,False,"{'e': 0.06971505404010997, 'a': 0.5}",25,10,27.423829041837113,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'e': 0.06901790349970886, 'a': 0.5}",20,13,12.343027583043902,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'e': 0.06832772446471178, 'a': 0.5}",20,13,12.391432346780114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'e': 0.06764444722006466, 'a': 0.5}",20,16,9.020610231716104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'e': 0.066968002747864, 'a': 0.5}",20,0,-21.28332064611841,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
270,False,"{'e': 0.06629832272038537, 'a': 0.5}",20,11,17.112773188875043,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'e': 0.06563533949318151, 'a': 0.5}",25,14,-19.789143506522603,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
